logged_at,day_of_week,hour,route_id,stop_id,delay_seconds
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900110030::1,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900160508::1,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900150011::4,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900150509::4,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900160513::4,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900160514::4,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900160515::4,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900160516::4,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900171011::9,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900170520::4,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900170521::4,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900170701::2,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900170020::6,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900170519::4,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900170517::3,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900170013::6,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900170524::4,0
2026-08-24T00:21:20,Monday,0,17460_900,de:11000:900170010::8,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230003::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230102::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230183::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:11000:900053371::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:11000:900053303::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230038::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230089::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230040::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230039::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230010::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230043::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230011::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230147::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230032::3,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230400::1,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230141::4,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230140::4,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230106::2,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230104::2,0
2026-08-24T00:21:20,Monday,0,1548_700,de:12054:900230402::2,0
